,objective_name,solver_name,data_name,idx_rep,stop_val,time,objective_value,objective_sparsity,objective_opt_violation,env-OMP_NUM_THREADS,platform,platform-architecture,platform-release,platform-version,system-cpus,system-processor,system-ram (GB),version-cuda,version-numpy,version-scipy
11,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,63,0.010720749851316214,0.16236786828864866,16,0.0023014686629270736,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
12,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,94,0.015593701973557472,0.16170161931798058,18,0.003010799893774216,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
13,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,141,0.023201334290206432,0.1549338179610596,14,0.0003444767175083833,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
14,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,211,0.034699464216828346,0.15493239763959166,14,1.2525865663286362e-07,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
15,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,316,0.05133374687284231,0.15493239763945174,14,7.073105542126027e-13,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
16,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,474,0.0763432472012937,0.15493239763945174,14,3.20979801877515e-16,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
17,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],0,853,0.1357227568514645,0.15493239763945174,14,3.20979801877515e-16,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
18,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,0,0.000458412803709507,0.5,0,0.616876185483871,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
19,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,1,0.0006365180015563965,0.27721497527464056,88,0.09727632909889602,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
20,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,2,0.0007876120507717133,0.23252367880758512,59,0.0755897901588746,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
21,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,3,0.0009650541469454765,0.19799442505250195,39,0.06026394688865225,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
22,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,4,0.001185571774840355,0.18262568312548497,34,0.0662437320333675,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
23,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,6,0.0014803060330450535,0.1700038549568516,23,0.01960014040069826,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
24,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,9,0.001990363933146,0.16745907024324908,18,0.012354938079042959,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
25,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,13,0.0025858799926936626,0.16636549455946198,16,0.006051866272498173,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
26,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,19,0.003524762112647295,0.1635049232608684,20,0.009574005059265067,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
27,"MCP Regression[gamma=3,reg=0.1]",cd,libsvm[dataset=colon-cancer],1,28,0.005091005004942417,0.16261812930002392,17,0.0022684044373353614,,Linux,x86_64,4.18.0-305.40.2.el8_4.x86_64,#1 SMP Tue Mar 8 14:29:54 EST 2022,10,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,187,Tesla V100-SXM2-16GB: cuda_11.4,"('1.21.6', 'blas=NO_ATLAS_INFO, lapack=lapack')",1.8.1
